source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,source_n_cells,target_n_cells,min_source_target_n_cells
Macrophages FOLR2,Macrophages proliferating,HSPA1A,TLR4,0.7184805,0.0,0.35168898,1.4160452,0.7114666,0.013114089,0.918603,0.0257284328136257,0.2117128716917619,6473,127,127
Plasma cell cycling,Th naive,HLA-A,CD8A,1.0946045,0.0,0.25574008,0.24489062,0.24137817,0.0011973162,0.9058703,0.8516478401253058,0.2117128716917619,72,1182,72
Tc naive,Goblet cells,MIF,EGFR,0.10051802,1.0,0.009384786,0.04524803,-0.29225937,0.0010440226,0.6483254,1.0,0.2117548948961662,406,9555,406
TA cells,Macrophages FOLR2,HSPA8,LDLR,0.83802545,0.0,0.25573748,0.4023155,0.42256272,0.0019472406,0.90586984,0.3077560085486706,0.2117550649683828,5824,6473,5824
Goblet cells,Macrophages proliferating,HMGB1,HAVCR2,0.71844274,0.0,0.32321605,1.2057048,0.3887049,0.006431626,0.9153904,0.039502323917205,0.2117550649683828,9555,127,127
Colonocytes,Macrophages immature,HSPA4,TLR4,0.09731273,0.0,0.009385797,0.32681328,0.075434536,0.0018016269,0.64833766,0.5815925112869619,0.211828736133056,12656,551,551
cDC2,Tc naive,HLA-DPB1,CD4,1.4446871,0.0,0.23778844,1.4407467,1.5210845,0.0015979588,0.9027211,0.0927086333958086,0.2118305166884983,203,406,203
Monocytes inflammatory,Th17,HLA-DRA,CD4,1.4299083,0.0,0.25566158,0.86715573,0.8391754,0.0011150751,0.9058572,0.3827287028118984,0.2118394623446018,50,3171,50
Monocytes,Stem cells,HLA-A,CD8B,0.9561887,0.0,0.2556583,0.13317794,0.053765744,0.0013073538,0.90585667,1.0,0.2118605639433091,767,2790,767
Colonocytes BEST4,Tc effector,LGALS9,PTPRC,0.71833205,0.0,0.36504894,0.66919816,0.6057624,0.0018231663,0.91998607,0.3607255236630932,0.2118605639433091,338,13119,338
Treg,Macrophages IFN-activated,CD52,SIGLEC10,0.7183043,0.0,0.31809142,1.1569645,0.6884554,0.0052296882,0.91476935,0.039502323917205,0.2118816664438315,449,818,449
Paneth cells,Macrophages proliferating,ADAM10,TSPAN15,0.09794727,0.056,0.00938624,0.07536475,0.03163921,0.0013287195,0.648343,1.0,0.2119025760662402,5623,127,127
Macrophages IFN-activated,Colonocytes DUOX2,TNFSF13B,TFRC,0.71829903,0.0,0.39743793,1.9550577,1.210294,0.009064654,0.92305946,0.0229448383881523,0.2119027698461458,818,4757,818
TA cells,Goblet cells,MDK,TSPAN1,0.71828103,0.0,0.4309347,0.6288821,0.5489048,0.008172162,0.9258842,0.044706938574033,0.2119238741502291,5824,9555,5824
Macrophages IFN-activated,Macrophages FOLR2,HSPA1A,TLR4,0.71826226,0.0,0.27254647,1.101553,0.34934944,0.010162954,0.9085491,0.039502323917205,0.2119449793560585,818,6473,818
B cell naive,Th effector,HLA-B,CD8B,0.9932718,1.0,0.25562045,-0.048961997,-0.3811715,0.0010206512,0.90585035,1.0,0.2119660854636108,3019,1258,1258
Th17,TA cells,SEMA4D,PLXNB1,0.09787052,0.0,0.009386247,0.32424027,0.10258469,0.0042026006,0.6483431,0.4574752337894684,0.2119764146957302,3171,5824,3171
Colonocytes DUOX2,B cell germinal center,ZG16B,CXCR4,0.7182425,0.0,0.47772294,1.2065034,0.9276593,0.013421197,0.92934406,0.0157002987102528,0.2119871924728629,4757,1063,1063
B cell memory,Macrophages immature,CD52,SIGLEC10,0.88171947,0.0,0.2556032,1.1000135,0.8718908,0.0042023296,0.9058475,0.039502323917205,0.2119871924728629,5004,551,551
B cell germinal center,Tc,HLA-DPB1,LAG3,0.8127422,0.0,0.2555913,0.87270415,0.5247731,0.003351323,0.90584546,0.0609406067971237,0.212029409196375,1063,6712,1063
Tuft cells,Monocytes inflammatory,HLA-C,LILRB1,0.71822906,0.971,0.29298016,0.44008946,-0.0034315586,0.002011237,0.9115085,1.0,0.212029409196375,288,50,50
Monocytes,Plasma cell,APP,NCSTN,0.09782614,1.0,0.009386572,-0.072431415,-0.12090094,0.0006747169,0.6483471,1.0,0.2120502520215375,767,21820,767
Th17,B cell memory,CD52,SIGLEC10,0.9280774,0.0,0.25556147,1.137236,0.9062893,0.0042016436,0.9058405,0.039502323917205,0.2120716295264104,3171,5004,3171
B cell cycling,Monocytes inflammatory,HMGB1,HAVCR2,1.2677375,0.0,0.25554848,1.1363473,0.86051583,0.0050851195,0.9058383,0.039502323917205,0.2120927410438169,224,50,50
Paneth cells,Colonocytes,S100A10,CFTR,1.0338774,0.0,0.2555109,0.558657,0.41818097,0.005618615,0.90583205,0.0769228712958032,0.2121138534627853,5623,12656,5623
Colonocytes BEST4,B cell memory,TGFB1,ITGB1,0.097132504,1.0,0.009389752,-0.22154976,-0.22471859,0.00015344124,0.6483857,1.0,0.2121240880436737,338,5004,338
Paneth cells,Tuft cells,HLA-A,APLP2,0.71801865,1.0,0.31075197,-0.19908924,-0.48420492,0.00056225935,0.91385496,1.0,0.2121349667832923,5623,288,288
Th naive,Capillary endothelial cells,LTB,TNFRSF1A,0.718004,0.0,0.32127348,0.72858024,0.6117764,0.0028991902,0.9151566,0.0985406915963577,0.2121560810053152,1182,5,5
Plasma cell cycling,Th naive,HLA-A,CD8B,1.094527,0.0,0.25541964,0.24973275,0.25481078,0.0013061333,0.90581685,0.7277484293444857,0.2121560810053152,72,1182,72
Th17,Plasma cell cycling,HLA-B,LILRB1,1.3041896,0.0,0.25541478,0.40308017,0.13200465,0.0012297946,0.905816,0.812965878971299,0.2121771961288309,3171,72,72
Macrophages LYVE1,Macrophages proliferating,HLA-A,APLP2,0.7179402,0.997,0.4761093,0.16146952,-0.41598582,0.0008614488,0.9292329,1.0,0.2121771961288309,48,127,48
Enterocytes,Stem cells,PSEN1,NOTCH2,0.09694612,0.0,0.009390012,0.20507106,0.082795836,0.0013316696,0.6483888,0.8532042492503521,0.2121979227621503,17919,2790,2790
